framework,timestamp,active_actors,memory_used
Ray,1742419249.214478,1,2888949760
Ray,1742419250.356804,1,2915241984
Ray,1742419251.445657,1,2934116352
Ray,1742419252.53165,1,2961608704
Ray,1742419253.6146662,1,2990940160
Ray,1742419259.0277622,2,2937126912
Ray,1742419260.1293356,2,2980884480
Ray,1742419261.2237422,2,3021271040
Ray,1742419262.3108552,2,3074007040
Ray,1742419263.3928037,2,3103469568
Ray,1742419269.0083215,4,3304677376
Ray,1742419270.1071365,4,3334041600
Ray,1742419271.2035537,4,3369914368
Ray,1742419272.289548,4,3412086784
Ray,1742419273.3737311,4,3443793920
Ray,1742419279.4728823,8,3651563520
Ray,1742419280.5708654,8,3698110464
Ray,1742419281.6635303,8,3763097600
Ray,1742419282.749656,8,3786731520
Ray,1742419283.831676,8,3793244160
Ray,1742419290.6969285,16,4390744064
Ray,1742419291.793466,16,4405403648
Ray,1742419292.8815494,16,4430770176
Ray,1742419293.9648316,16,4430770176
Ray,1742419295.046845,16,4439560192
Ray,1742419302.7692802,32,5651349504
Ray,1742419303.9142163,32,5666541568
Ray,1742419305.0067391,32,5681778688
Ray,1742419306.0955036,32,5681778688
Ray,1742419307.1828744,32,5685002240
Ray,1742419317.2319837,52,7199412224
Ray,1742419318.3456013,52,7199420416
Ray,1742419319.450292,52,7199420416
Ray,1742419320.5489829,52,7203532800
Ray,1742419321.6477315,52,7212974080
Ray,1742419327.023528,1,3023609856
Ray,1742419328.1239913,1,3051171840
Ray,1742419329.2134156,1,3074240512
Ray,1742419330.2976809,1,3101999104
Ray,1742419331.3832073,1,3127226368
Ray,1742419336.747112,2,3051311104
Ray,1742419337.847046,2,3124334592
Ray,1742419338.9373698,2,3151740928
Ray,1742419340.0231905,2,3187593216
Ray,1742419341.108807,2,3216994304
Ray,1742419346.701888,4,3311292416
Ray,1742419347.79799,4,3340718080
Ray,1742419348.885547,4,3376390144
Ray,1742419349.9676557,4,3414106112
Ray,1742419351.049662,4,3445800960
Ray,1742419357.1453319,8,3678576640
Ray,1742419358.2406516,8,3725012992
Ray,1742419359.328442,8,3785809920
Ray,1742419360.4117143,8,3805724672
Ray,1742419361.4976523,8,3812212736
Ray,1742419368.384272,16,4386377728
Ray,1742419369.480521,16,4401205248
Ray,1742419370.5695508,16,4425093120
Ray,1742419371.6585443,16,4425252864
Ray,1742419372.743652,16,4433862656
Ray,1742419380.5265267,32,5831102464
Ray,1742419381.62819,32,5845458944
Ray,1742419382.721555,32,5862973440
Ray,1742419383.8119993,32,5752967168
Ray,1742419384.9036584,32,5757161472
Ray,1742419394.8384395,52,7278080000
Ray,1742419395.941042,52,7279493120
Ray,1742419397.038301,52,7279493120
Ray,1742419398.1325667,52,7283609600
Ray,1742419399.22247,52,7292616704
Ray,1742419404.6150503,1,3275685888
Ray,1742419405.7120407,1,3297021952
Ray,1742419406.8005474,1,3313799168
Ray,1742419407.8856525,1,3343659008
Ray,1742419408.969551,1,3368853504
Ray,1742419414.2457058,2,3467845632
Ray,1742419415.3456864,2,3497340928
Ray,1742419416.4366672,2,3524603904
Ray,1742419417.5220368,2,3552092160
Ray,1742419418.604409,2,3581476864
Ray,1742419424.2898798,4,3665461248
Ray,1742419425.3896477,4,3694870528
Ray,1742419426.4818428,4,3730604032
Ray,1742419427.565643,4,3767517184
Ray,1742419428.650872,4,3803262976
Ray,1742419434.7543387,8,4045885440
Ray,1742419435.8564413,8,4092334080
Ray,1742419436.949646,8,4136345600
Ray,1742419438.0363793,8,4172640256
Ray,1742419439.1216476,8,4183310336
Ray,1742419445.9463234,16,4884320256
Ray,1742419447.0500388,16,4894826496
Ray,1742419448.1441367,16,4914171904
Ray,1742419449.2307875,16,4914343936
Ray,1742419450.3158376,16,4922957824
Ray,1742419458.0629287,32,6277222400
Ray,1742419459.1701522,32,6291902464
Ray,1742419460.2665763,32,6310256640
Ray,1742419461.361149,32,6242996224
Ray,1742419462.4536638,32,6247190528
Ray,1742419472.4895248,52,7559675904
Ray,1742419473.6093185,52,7562584064
Ray,1742419474.7201414,52,7562584064
Ray,1742419475.8268719,52,7570857984
Ray,1742419476.928432,52,7583662080
